,time,positive,date,county,case_total,case_increase,positive_increase,week_id,bench_case_temp,bench_case_increase,bench_case_total
1,1,650,3/24/2020,Los Angeles,670,127,NA,1,280.2857143,NA,NA
2,2,814.4180109,3/25/2020,Los Angeles,814,144,164.4180109,1,280.2857143,NA,NA
3,3,971.8543142,3/26/2020,Los Angeles,1230,416,157.4363033,1,280.2857143,NA,NA
4,4,1130.334893,3/27/2020,Los Angeles,1482,252,158.4805788,1,280.2857143,NA,NA
5,5,1294.917826,3/28/2020,Los Angeles,1818,336,164.5829331,1,280.2857143,NA,NA
6,6,1468.992549,3/29/2020,Los Angeles,2147,329,174.0747226,1,280.2857143,NA,NA
7,7,1655.032393,3/30/2020,Los Angeles,2505,358,186.0398444,1,280.2857143,NA,NA
8,8,1855.030707,3/31/2020,Los Angeles,3037,532,199.9983134,2,555.1428571,280.2857143,2785.285714
9,9,2070.757062,4/1/2020,Los Angeles,3528,491,215.7263554,2,555.1428571,280.2857143,3065.571429
10,10,2303.90959,4/2/2020,Los Angeles,4071,543,233.1525281,2,555.1428571,280.2857143,3345.857143
11,11,2556.208424,4/3/2020,Los Angeles,4605,534,252.2988343,2,555.1428571,280.2857143,3626.142857
12,12,2829.455377,4/4/2020,Los Angeles,5325,720,273.2469523,2,555.1428571,280.2857143,3906.428571
13,13,3125.575257,4/5/2020,Los Angeles,5955,630,296.1198807,2,555.1428571,280.2857143,4186.714286
14,14,3446.646931,4/6/2020,Los Angeles,6391,436,321.0716742,2,555.1428571,280.2857143,4467
15,15,3794.929519,4/7/2020,Los Angeles,6944,553,348.2825879,3,441.2857143,555.1428571,5022.142857
16,16,4172.886106,4/8/2020,Los Angeles,7573,629,377.9565868,3,441.2857143,555.1428571,5577.285714
17,17,4583.207822,4/9/2020,Los Angeles,7984,411,410.3217161,3,441.2857143,555.1428571,6132.428571
18,18,5028.838308,4/10/2020,Los Angeles,8453,469,445.6304855,3,441.2857143,555.1428571,6687.571429
19,19,5512.999788,4/11/2020,Los Angeles,8889,436,484.1614806,3,441.2857143,555.1428571,7242.714286
20,20,6039.221573,4/12/2020,Los Angeles,9197,308,526.2217849,3,441.2857143,555.1428571,7797.857143
21,21,6611.37077,4/13/2020,Los Angeles,9480,283,572.149197,3,441.2857143,555.1428571,8353
22,22,7233.686477,4/14/2020,Los Angeles,10075,595,622.3157071,4,620.4285714,441.2857143,8794.285714
23,23,7910.816969,4/15/2020,Los Angeles,10517,442,677.1304913,4,620.4285714,441.2857143,9235.571429
24,24,8647.861497,4/16/2020,Los Angeles,10895,378,737.0445288,4,620.4285714,441.2857143,9676.857143
25,25,9450.415382,4/17/2020,Los Angeles,11421,526,802.5538843,4,620.4285714,441.2857143,10118.14286
