"","gamma","sigma","mu","r","fatigue","r_t1","f_t1","loss_train1","loss_valid1","loss_test1","loss_train2","loss_valid2","loss_test2","loss_train3","loss_valid3","loss_test3","loss_train4","loss_valid4","loss_test4","id","loss","rank","weight"
"1",0.24,0.3,0.065,1.52,0.009,0.88,0.001,39389927.6241118,113593636.009245,135844583.321264,1578818070.8442,114235012.776838,146731516.890575,39418443.3990251,113594333.982398,135847253.631725,1539428143.22008,641376.767592912,10886933.569311,37988,1540069519.98768,1,0.0181818181818182
"2",0.24,0.3,0.05,1.52,0.009,0.88,0.001,16039382.7984486,44419060.482223,53869998.3714068,1552449983.4916,44857806.7251848,67382490.8146561,16067827.608496,44419627.9144238,53872950.4704347,1536410600.69315,438746.242961853,13512492.4432492,37976,1536849346.93611,2,0.0363636363636364
"3",0.24,0.3,0.14,1.56,0.007,0.88,0.001,306776321.83419,924619561.544008,1091121954.80553,1804245406.91323,924989820.477035,1104404056.02474,306804281.319837,924620039.703206,1091124918.63177,1497469085.07904,370258.93302729,13282101.219212,35528,1497839344.01207,3,0.0545454545454545
"4",0.24,0.3,0.125,1.56,0.007,0.88,0.001,232383291.304485,697157373.519498,823286918.414804,1727028376.91488,697953311.361898,839712438.36049,232411222.591145,697158111.739191,823290296.051203,1494645085.6104,795937.842399791,16425519.9456853,35516,1495441023.4528,4,0.0727272727272727
"5",0.18,0.3,0.14,1.8,0.003,0.88,0.001,282847472.533348,913708831.315075,1097678030.91572,1526514222.25232,914232147.901739,1101376153.56432,282872841.549595,913709431.946218,1097679837.84186,1243666749.71898,523316.586663277,3698122.6485951,30822,1244190066.30564,5,0.0909090909090909
"6",0.18,0.3,0.125,1.8,0.003,0.88,0.001,213856314.45287,689025280.672821,828810477.547817,1455670572.13376,689292315.686503,832757836.065167,213881680.127863,689025720.275973,828812336.048105,1241814257.68089,267035.013681684,3947358.51735031,30810,1242081292.69457,6,0.109090909090909
"7",0.18,0.3,0.11,1.8,0.003,0.88,0.001,154557382.258389,496377373.584755,598219303.025128,1394540889.0412,496593831.831432,602780938.823943,154582745.455065,496377739.081531,598221230.245317,1239983506.78281,216458.246677097,4561635.79881501,30798,1240199965.02949,7,0.127272727272727
"8",0.18,0.3,0.095,1.8,0.003,0.88,0.001,104919261.725099,335559737.513082,405600168.690141,1343093621.83257,335929184.458313,411136531.540054,104944622.410963,335560243.076373,405602211.863819,1238174360.10747,369446.945230123,5536362.84991302,30786,1238543807.0527,8,0.145454545454545
"9",0.18,0.3,0.08,1.8,0.003,0.88,0.001,64910696.6626017,206368743.66828,250651894.301245,1301297378.39965,207092628.606792,257518901.59261,64936056.6216383,206369514.163567,250654112.491644,1236386681.73705,723884.938511844,6867007.29136507,30774,1237110566.67556,9,0.163636363636364
"10",0.15,0.3,0.095,1.84,0.007,0.88,0.001,97133660.1274849,330079030.201115,404942706.291301,1144872085.10755,331005410.496648,408235418.460551,97157120.9912228,330079849.353271,404944329.579422,1047738424.98006,926380.295533089,3292712.16925007,36077,1048664805.2756,10,0.181818181818182
