,time,dead,dead_low,dead_high,date,county,death_total,death_increase,dead_increase,week_id,bench_death_temp,bench_death_increase,bench_death_total
1,1,11,11,11,3/24/2020,Los Angeles,10,2,NA,1,5.142857143,NA,NA
2,2,16.82003903,14.49410474,24.13106155,3/25/2020,Los Angeles,13,3,5.820039034,1,5.142857143,NA,NA
3,3,22.60471748,18.33653132,35.84707718,3/26/2020,Los Angeles,21,8,5.784678444,1,5.142857143,NA,NA
4,4,28.52141572,22.5014648,47.10188408,3/27/2020,Los Angeles,26,5,5.916698238,1,5.142857143,NA,NA
5,5,34.66077399,26.9767026,58.35360326,3/28/2020,Los Angeles,32,6,6.139358276,1,5.142857143,NA,NA
6,6,41.07654555,31.72129829,69.82920256,3/29/2020,Los Angeles,37,5,6.415771554,1,5.142857143,NA,NA
7,7,47.80508658,36.72980634,81.64807731,3/30/2020,Los Angeles,44,7,6.728541036,1,5.142857143,NA,NA
8,8,54.87495851,42.0458422,93.87992995,3/31/2020,Los Angeles,54,10,7.069871925,2,14.71428571,5.142857143,49.14285714
9,9,62.31170389,47.59854972,106.5719074,4/1/2020,Los Angeles,66,12,7.436745385,2,14.71428571,5.142857143,54.28571429
10,10,70.14025752,53.42757682,119.7613969,4/2/2020,Los Angeles,80,14,7.82855363,2,14.71428571,5.142857143,59.42857143
11,11,78.38619107,59.61265194,133.4820951,4/3/2020,Los Angeles,93,13,8.245933547,2,14.71428571,5.142857143,64.57142857
12,12,87.07638669,66.17857198,147.7669384,4/4/2020,Los Angeles,119,26,8.690195625,2,14.71428571,5.142857143,69.71428571
13,13,96.23943583,73.15199674,162.6495536,4/5/2020,Los Angeles,132,13,9.163049133,2,14.71428571,5.142857143,74.85714286
14,14,105.9059082,80.56166206,178.1650213,4/6/2020,Los Angeles,147,15,9.666472371,2,14.71428571,5.142857143,80
15,15,116.1085632,88.43857302,194.3503368,4/7/2020,Los Angeles,173,26,10.20265504,3,25.57142857,14.71428571,94.71428571
16,16,126.8825395,96.81620298,211.5665804,4/8/2020,Los Angeles,200,27,10.77397625,3,25.57142857,14.71428571,109.4285714
