"","gamma","sigma","mu","r","fatigue","r_t1","f_t1","loss_train1","loss_valid1","loss_test1","loss_train2","loss_valid2","loss_test2","loss_train3","loss_valid3","loss_test3","loss_train4","loss_valid4","loss_test4","id","loss","rank","weight"
"1",0.24,0.3,0.11,1.4,0.001,0.84,0.001,547998.109305443,2273.75442485982,468.908610583301,10057029406.6949,44412683308.2247,53841347685.039,620395.203161621,212868.469436591,232443.406324867,10056481408.5856,44412681034.4703,53841347216.1304,14336,550271.863730302,1,0.0181818181818182
"2",0.21,0.3,0.11,1.44,0.001,0.84,0.001,429376.333580249,1461.54549318019,201.611863727703,10125531873.9485,44341715424.2761,53637074376.154,502315.534572826,211891.851720701,231736.475931751,10125102497.6149,44341713962.7306,53637074174.5422,14419,430837.879073429,2,0.0363636363636364
"3",0.21,0.3,0.065,1.4,0.009,0.84,0.001,351126.066000499,768.722908748062,106.482243964249,5844408332.66772,28340512242.6123,35001840337.2408,402125.023500749,168975.725473709,187127.98764445,5844057206.60172,28340511473.8894,35001840230.7585,24715,351894.788909247,3,0.0545454545454545
"4",0.21,0.3,0.065,1.44,0.007,0.84,0.001,331346.526637856,1668.94612392511,2688.48369945657,5901732550.51631,28598750143.2064,35314301205.4722,382584.178868596,170640.67075532,190543.187836064,5901401203.98967,28598748474.2603,35314298516.9885,22195,333015.472761781,4,0.0727272727272727
"5",0.24,0.5,0.095,1.2,0.005,0.88,0.001,208472.335088851,2414.83978817599,35118.3427111314,9383440633.41441,40340499491.9862,48066326991.9419,278634.307786194,203147.662394024,254305.21816986,9383232161.07932,40340497077.1464,48066291873.5992,32136,210887.174877027,5,0.0909090909090909
"6",0.15,0.3,0.065,1.56,0.009,0.84,0.001,159846.769883735,2010.06510737213,914.66267882548,6075102008.82074,28272114434.2805,34485813105.6667,212903.70214336,170032.541847625,186556.731419868,6074942162.05086,28272112424.2154,34485812191.004,25049,161856.834991107,6,0.109090909090909
"7",0.24,0.1,0.125,1.84,0.007,0.8,0.001,160310.13666035,289.844854639359,2662.00654713683,11089546995.1054,47062867646.4169,56642558847.1437,238129.416758724,217089.922082094,240598.228987643,11089386684.9687,47062867356.5721,56642556185.1371,10060,160599.981514989,7,0.127272727272727
"8",0.24,0.1,0.125,1.88,0.005,0.8,0.001,148343.17841463,1576.65487332421,166.838130985361,11130323489.9133,47224095926.0981,56833975727.2864,226303.197534635,218747.786009057,238504.858345943,11130175146.7349,47224094349.4432,56833975560.4482,7540,149919.833287954,8,0.145454545454545
"9",0.21,0.1,0.095,2,0.009,0.8,0.001,147241.651551909,1418.98263481197,9155.09355834942,9069089724.28853,39636270391.2312,47937841967.4134,216066.511145182,200374.378721516,228040.871800651,9068942482.63698,39636268972.2486,47937832812.3198,12975,148660.63418672,9,0.163636363636364
"10",0.15,0.1,0.14,2,0.009,0.8,0.001,97472.9648640906,1243.33429766919,9248.742203456,11877917790.3643,49400835583.1029,59177872183.9059,178812.066570706,223370.567301022,252454.595967517,11877820317.3994,49400834339.7686,59177862935.1637,13009,98716.2991617598,10,0.181818181818182
